ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
3637	1	2	1	1	1	1	1	1	1	1	0	1	1	1
3638	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3639	0	0	0	0	0	0	0	0	0	1	0	1	0	0
364	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3640	1	0	0	0	0	0	0	0	0	0	0	0	0	0
3641	1	1	1	1	1	0	0	1	0	0	0	0	0	0
3642	0	0	0	0	0	0	0	0	0	1	1	1	1	1
3643	1	1	0	0	0	0	0	0	0	0	0	0	1	1
3644	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3645	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3646	0	0	1	1	1	1	1	1	1	0	0	0	0	0
3647	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3648	1	1	2	2	2	2	2	2	2	3	2	2	2	2
3649	1	1	1	1	1	1	1	1	1	1	1	1	1	1
365	0	0	0	0	0	0	0	0	0	0	0	0	0	1
3650	0	0	1	0	0	0	0	0	0	0	0	0	0	0
3651	1	1	1	1	1	1	1	1	1	0	0	0	0	0
3652	1	0	1	1	1	1	1	1	0	0	0	0	0	0
3653	2	1	1	1	1	1	1	1	1	1	1	1	1	1
3654	0	0	0	0	0	0	0	0	0	0	1	0	0	0
3655	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3656	1	0	1	1	1	1	1	1	1	0	1	1	0	1
3657	0	0	0	0	0	0	0	0	0	0	0	0	2	1
3658	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3659	0	0	1	1	1	1	1	1	1	0	0	0	0	0
366	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3660	0	0	0	0	0	0	0	0	0	1	1	0	0	0
3661	0	0	0	0	0	0	0	0	0	1	0	0	1	0
3662	0	0	0	0	0	3	8	0	0	0	0	0	0	0
3663	0	0	1	1	1	1	0	0	0	0	0	0	0	0
3664	0	0	2	2	1	6	2	2	1	0	0	0	0	0
3665	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3666	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3667	1	1	1	1	1	2	1	1	1	1	1	1	1	1
3668	1	0	1	1	1	1	1	1	1	0	0	0	0	0
3669	1	0	0	0	0	0	0	0	0	0	0	0	0	0
367	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3670	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3671	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3672	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3673	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3674	1	1	1	1	1	1	1	1	1	1	1	1	1	1
3675	0	0	0	0	0	0	0	0	0	0	0	0	1	1
3676	1	1	1	1	1	1	1	1	1	1	0	1	1	1
3677	1	1	1	1	1	1	1	1	1	1	1	1	2	1
3678	0	0	1	1	2	0	0	1	2	0	0	0	0	0
3679	4	2	3	3	3	2	1	2	2	2	2	1	5	3
368	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3680	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3681	1	1	1	1	1	1	1	1	1	1	1	0	1	1
3682	1	4	1	1	1	1	1	1	1	1	1	1	1	1
3683	0	0	0	0	1	0	0	0	0	0	0	0	0	0
3684	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3685	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3686	0	0	0	0	0	0	0	0	0	1	0	1	1	1
