desc	ogs	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
none	10558.1	3	3	2	4	2	2	2	2	3	1	0	1	0	0
none	10558.2	1	1	1	1	1	1	1	1	1	1	0	1	1	2
none	10560	2	1	1	1	1	1	1	1	1	1	2	2	1	2
none	10563	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10566	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10567	1	1	1	1	1	1	1	2	1	1	1	1	1	1
none	1057	1	1	1	1	1	1	1	1	1	1	1	0	1	1
none	10571	1	1	1	1	2	1	1	1	1	1	1	1	1	1
none	10572	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10576	0	1	0	0	0	0	0	0	0	0	1	1	1	1
none	10578	1	4	1	1	1	1	1	1	1	2	1	1	1	1
none	10583	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10586	1	1	1	1	1	1	1	1	1	1	1	1	1	0
none	1059	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10591	2	1	1	1	1	1	1	1	1	1	1	1	1	1
none	106	1	1	1	1	1	1	1	1	1	1	1	1	2	1
none	10601	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10604	1	2	1	1	1	1	1	1	1	1	1	1	1	1
none	10607	1	1	1	1	2	1	1	1	1	1	1	1	1	1
none	10610	1	1	1	1	1	1	2	1	1	2	1	1	1	2
none	10611	1	1	1	1	1	1	1	2	2	1	1	1	1	2
none	10615	11	5	3	3	3	3	3	4	3	4	4	5	10	24
none	10619	1	0	3	1	1	1	1	1	1	1	0	1	0	1
none	10622	1	1	1	1	1	1	1	1	1	1	1	1	2	2
none	10623	18	1	3	2	3	5	3	2	3	0	0	0	0	1
none	10626	1	1	1	1	1	1	1	1	1	1	1	1	1	1
none	10629	1	1	1	1	1	1	1	1	1	1	1	1	2	0
none	10630	1	1	1	1	1	1	1	1	1	1	0	1	1	1
