ogs	desc	musDom	gloMor	droMel	droYak	droAna	droPse	droWil	droMoj	droVir	anoGam	anoDar	anoSte	aedAeg	culQui
10784	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10789	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10790	none	1	1	1	1	1	2	1	1	1	1	1	1	1	0
10798	none	1	1	1	2	1	1	1	1	1	1	1	2	2	1
108	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1080	none	1	1	2	1	1	2	1	2	2	1	1	1	1	1
10806	none	1	1	1	1	1	0	1	1	1	1	1	2	1	2
10808	none	1	0	1	1	1	1	1	1	1	1	1	1	1	2
10809	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
1081	none	4	1	1	1	1	1	1	1	1	1	1	1	2	1
10810	none	1	1	1	0	1	2	1	1	1	0	0	0	1	1
10811	none	2	0	2	2	2	2	2	2	2	5	0	2	3	7
10820	none	0	0	0	1	1	1	1	0	0	1	1	1	2	1
10821	none	2	2	2	2	1	1	1	1	1	1	1	1	1	1
10823	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10824	none	2	1	1	1	1	1	1	1	1	1	1	1	1	1
10826	none	1	1	1	1	1	1	1	1	1	1	1	0	1	1
10827	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10829	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1083	none	1	1	1	1	1	1	1	1	2	1	1	1	2	2
10830	none	2	1	1	1	3	1	1	1	1	1	1	1	1	1
10833	none	3	2	2	2	1	1	1	1	1	1	1	1	2	1
10835	none	1	1	1	1	1	1	1	1	1	1	1	1	1	3
1084	none	1	1	1	1	1	1	1	1	1	2	1	2	1	1
10842	none	1	3	1	1	2	1	1	1	1	1	1	1	2	1
10843	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10845	none	1	0	1	1	1	1	1	1	1	1	1	1	1	1
10847.1	none	3	3	1	1	2	1	1	2	1	3	2	2	1	2
10847.2	none	3	2	1	1	1	1	1	2	2	2	3	2	2	5
10848	none	1	1	1	1	1	1	1	1	1	1	1	1	2	1
1085	none	1	0	1	2	1	1	1	1	1	1	2	1	1	1
10860	none	3	2	4	4	4	3	3	5	3	2	2	2	6	7
10862	none	1	1	2	2	2	2	2	2	2	1	1	1	1	1
10867	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10876	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10881	none	1	1	1	1	1	1	1	1	1	2	1	1	2	2
10882	none	0	1	0	0	0	0	0	0	0	0	1	1	1	0
10883	none	1	1	1	1	1	1	1	1	1	1	1	1	1	3
10884	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
10886	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10887	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10891	none	2	1	2	3	4	6	4	4	5	1	1	1	1	1
10895	none	1	0	0	0	0	0	0	0	0	0	0	1	1	1
10909	none	1	1	1	1	1	1	1	1	1	1	1	1	1	2
1091	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10910	none	1	2	1	1	1	1	1	1	1	1	1	1	1	1
10911	none	0	0	0	0	0	0	0	0	1	1	0	1	1	1
10912.1	none	4	1	3	3	4	3	3	2	2	2	2	2	3	4
10912.2	none	1	1	1	1	1	1	1	1	1	0	0	0	1	2
10914	none	1	1	1	1	1	1	1	1	1	1	0	1	1	1
10916	none	1	1	1	1	1	1	1	1	1	1	1	1	1	0
10917	none	1	1	1	1	1	1	1	1	1	1	1	1	1	1
