OGS	desc	musDom	gloMor	droWil	droPse	droYak	droMel	droAna	droVir	droMoj	culQui	aedAeg	anoDar	anoSte	anoGam
sim.868.014	none	10	13	8	9	2	3	10	4	3	0	0	0	0	0
sim.869.014	none	4	1	0	0	0	0	0	0	0	0	0	0	0	0
sim.87.014	none	0	0	0	0	0	0	0	0	0	5	1	0	0	0
sim.870.014	none	0	0	0	0	0	0	0	0	0	0	0	0	4	4
sim.871.014	none	4	3	0	0	0	0	0	0	0	0	0	0	0	0
sim.872.014	none	0	0	0	0	0	0	0	0	0	0	1	23	9	2
sim.873.014	none	3	1	5	4	4	7	1	2	3	0	0	0	2	4
sim.874.014	none	0	0	0	0	0	0	0	0	0	2	7	4	6	4
sim.875.014	none	0	0	1	0	2	1	2	2	0	0	1	5	2	4
sim.876.014	none	8	1	0	0	0	0	0	0	0	7	14	0	2	0
sim.877.014	none	0	0	0	0	0	0	0	0	0	0	1	0	2	1
sim.878.014	none	0	0	0	0	0	0	0	0	0	2	5	8	4	4
sim.879.014	none	0	0	0	0	0	0	0	0	0	5	4	7	10	10
sim.88.014	none	3	5	3	7	5	6	2	6	2	2	2	0	0	0
sim.880.014	none	5	7	5	2	2	2	4	0	0	0	0	0	0	0
sim.881.014	none	3	11	0	1	1	1	2	0	0	0	0	0	0	0
sim.882.014	none	0	0	0	0	0	0	0	0	0	6	4	0	0	0
sim.883.014	none	0	0	0	0	0	0	0	0	0	11	5	6	12	7
sim.884.014	none	0	0	0	0	0	0	0	0	0	3	5	2	4	8
sim.885.014	none	0	0	0	0	0	0	0	0	0	0	0	3	6	0
sim.886.014	none	1	2	4	5	6	7	5	2	5	0	0	1	0	0
sim.887.014	none	13	11	17	6	5	9	12	7	9	0	0	0	0	0
sim.888.014	none	1	1	0	0	1	1	2	0	0	0	0	0	0	0
sim.889.014	none	0	0	4	1	0	0	0	0	0	0	0	0	0	0
sim.89.014	none	0	0	4	0	6	2	1	0	0	0	0	0	0	0
sim.890.014	none	0	0	0	0	0	0	0	0	0	9	6	11	9	9
sim.891.014	none	0	0	0	0	0	0	0	0	0	6	3	5	4	5
sim.892.014	none	0	0	0	0	0	0	0	0	0	0	0	0	3	2
sim.893.014	none	2	3	2	5	7	5	8	3	4	0	0	0	0	0
sim.894.014	none	0	0	0	0	0	0	0	0	0	2	7	0	0	0
sim.895.014	none	2	1	4	0	0	0	2	0	1	2	0	2	0	1
sim.896.014	none	0	0	0	0	0	0	0	0	0	0	0	3	1	2
sim.897.014	none	0	0	0	0	0	0	0	0	0	3	0	5	5	3
sim.898.014	none	0	0	0	0	0	0	0	0	0	3	6	19	22	16
sim.899.014	none	0	0	0	0	0	0	0	0	0	4	5	17	12	12
sim.9.014	none	2	0	0	0	0	0	0	3	3	0	0	0	0	0
sim.90.014	none	3	4	2	7	9	11	10	1	2	1	2	1	4	0
sim.900.014	none	2	1	8	1	4	2	3	3	1	0	0	0	0	0
sim.901.014	none	20	10	10	10	7	9	5	7	7	0	0	0	0	0
sim.902.014	none	0	0	4	3	0	0	1	0	0	3	0	8	3	6
sim.903.014	none	0	1	4	5	3	3	2	0	0	2	0	0	0	0
sim.904.014	none	4	6	4	2	2	2	2	7	4	0	0	1	0	0
sim.905.014	none	5	5	22	11	14	12	14	7	12	0	0	0	0	0
sim.906.014	none	0	0	0	0	0	0	0	0	0	7	7	11	5	4
sim.907.014	none	3	1	4	4	4	7	5	6	6	0	0	0	0	0
sim.908.014	none	17	7	8	4	8	6	8	7	4	0	0	0	0	0
sim.909.014	none	0	0	0	0	0	0	0	0	0	1	0	5	7	5
sim.91.014	none	11	6	11	3	7	7	4	9	11	0	0	0	0	0
sim.910.014	none	0	0	0	0	0	0	0	0	0	16	1	12	10	11
sim.911.014	none	0	0	0	0	0	0	0	0	0	6	16	5	5	7
sim.912.014	none	3	5	9	6	4	6	3	7	4	0	0	0	0	0
sim.913.014	none	0	0	0	0	0	0	0	0	0	4	3	1	1	1
sim.914.014	none	8	3	7	4	7	8	12	6	7	0	0	0	0	0
sim.915.014	none	0	0	6	3	9	6	4	0	1	0	0	0	0	0
sim.916.014	none	3	1	2	8	6	6	5	8	3	0	0	0	0	0
sim.917.014	none	9	7	21	1	4	4	10	1	5	0	0	0	0	0
sim.918.014	none	0	0	0	0	0	0	0	0	0	0	3	4	3	1
sim.919.014	none	2	1	0	0	0	0	0	0	0	4	5	1	2	1
sim.92.014	none	0	0	7	4	1	1	2	3	1	2	3	21	13	17
sim.920.014	none	1	1	0	6	1	3	6	5	10	0	0	1	1	0
